GTZAR1YR Govt,,GTZAR5YR Govt,,GTZAR10Y Govt,
,,,,11/26/2021,10.413
,,,,11/29/2021,10.317
,,,,11/30/2021,10.243
,,,,12/1/2021,10.241
,,,,12/2/2021,10.135
,,,,12/3/2021,10.088
,,,,12/6/2021,9.975
,,,,12/7/2021,9.943
,,,,12/8/2021,9.925
,,,,12/9/2021,9.935
,,,,12/10/2021,9.943
,,,,12/13/2021,9.937
,,,,12/14/2021,9.863
,,,,12/15/2021,9.908
,,,,12/17/2021,9.753
,,,,12/20/2021,9.696
,,,,12/21/2021,9.808
,,,,12/22/2021,9.845
,,,,12/23/2021,9.774
,,,,12/24/2021,9.753
,,,,12/28/2021,9.774
,,,,12/29/2021,9.839
,,,,12/30/2021,9.892
,,,,12/31/2021,9.814
,,,,1/3/2022,9.796
,,,,1/4/2022,9.879
,,,,1/5/2022,9.826
,,,,1/6/2022,9.889
,,,,1/7/2022,9.872
,,,,1/10/2022,9.977
,,,,1/11/2022,10.003
,,,,1/12/2022,9.865
,,,,1/13/2022,9.901
,,,,1/14/2022,9.839
,,,,1/17/2022,9.868
,,,,1/18/2022,9.905
,,,,1/19/2022,9.892
,,,,1/20/2022,9.756
,,,,1/21/2022,9.705
,,,,1/24/2022,9.765
,,,,1/25/2022,9.81
,,,,1/26/2022,9.788
,,,,1/27/2022,9.785
,,,,1/28/2022,9.862
,,,,1/31/2022,9.831
,,,,2/1/2022,9.74
,,,,2/2/2022,9.703
,,,,2/3/2022,9.669
,,,,2/4/2022,9.744
,,,,2/7/2022,9.785
,,,,2/8/2022,9.754
,,,,2/9/2022,9.683
,,,,2/10/2022,9.619
,,,,2/11/2022,9.632
,,,,2/14/2022,9.644
,,,,2/15/2022,9.607
,,,,2/16/2022,9.54
,,,,2/17/2022,9.498
,,,,2/18/2022,9.508
,,,,2/21/2022,9.551
,,,,2/22/2022,9.602
,,,,2/23/2022,9.664
,,,,2/24/2022,9.875
,,,,2/25/2022,9.689
,,,,2/28/2022,9.847
,,,,3/1/2022,9.889
,,,,3/2/2022,10.007
,,,,3/3/2022,9.984
,,,,3/4/2022,10.081
,,,,3/7/2022,10.379
,,,,3/8/2022,10.685
,,,,3/9/2022,10.473
,,,,3/10/2022,10.282
,,,,3/11/2022,10.115
,,,,3/14/2022,10.229
,,,,3/15/2022,10.18
,,,,3/16/2022,10.008
,,,,3/17/2022,9.959
,,,,3/18/2022,10.071
,,,,3/22/2022,10.171
,,,,3/23/2022,10.116
,,,,3/24/2022,10.019
,,,,3/25/2022,10.069
,,,,3/28/2022,10.046
,,,,3/29/2022,9.994
,,,,3/30/2022,9.928
,,,,3/31/2022,9.971
,,,,4/1/2022,9.974
,,,,4/4/2022,9.938
,,,,4/5/2022,9.927
,,,,4/6/2022,9.96
,,,,4/7/2022,9.908
,,,,4/8/2022,9.967
,,,,4/11/2022,10.018
,,,,4/12/2022,10.037
,,,,4/13/2022,10.082
,,,,4/14/2022,10.124
,,,,4/19/2022,10.299
,,,,4/20/2022,10.291
,,,,4/21/2022,10.262
,,,,4/22/2022,10.245
,,,,4/25/2022,10.297
,,,,4/26/2022,10.273
,,,,4/28/2022,10.406
,,,,4/29/2022,10.372
,,,,5/3/2022,10.327
,,,,5/4/2022,10.291
,,,,5/5/2022,10.364
,,,,5/6/2022,10.464
,,,,5/9/2022,10.575
,,,,5/10/2022,10.609
,,,,5/11/2022,10.452
,,,,5/12/2022,10.399
,,,,5/13/2022,10.421
,,,,5/16/2022,10.412
,,,,5/17/2022,10.409
,,,,5/18/2022,10.406
,,,,5/19/2022,10.299
,,,,5/20/2022,10.195
,,,,5/23/2022,10.169
,,,,5/24/2022,10.153
,,,,5/25/2022,10.207
,,,,5/26/2022,10.222
,,,,5/27/2022,10.18
,,,,5/30/2022,10.093
,,,,5/31/2022,10.27
,,,,6/1/2022,10.333
,,,,6/2/2022,10.294
,,,,6/3/2022,10.299
,,,,6/6/2022,10.353
,,,,6/7/2022,10.445
,,,,6/8/2022,10.418
,,,,6/9/2022,10.45
,,,,6/10/2022,10.671
,,,,6/13/2022,10.906
,,,,6/14/2022,10.825
,,,,6/15/2022,10.7
,,,,6/17/2022,10.69
,,,,6/20/2022,10.686
,,,,6/21/2022,10.625
,,,,6/22/2022,10.571
,,,,6/23/2022,10.571
,,,,6/24/2022,10.684
,,,,6/27/2022,10.789
,,,,6/28/2022,10.891
,,,,6/29/2022,10.867
,,,,6/30/2022,11.003
,,,,7/1/2022,10.894
,,,,7/4/2022,10.923
,,,,7/5/2022,11.037
,,,,7/6/2022,11.128
,,,,7/7/2022,11.058
,,,,7/8/2022,11.074
,,,,7/11/2022,11.191
,,,,7/12/2022,11.309
,,,,7/13/2022,11.249
,,,,7/14/2022,11.51
,,,,7/15/2022,11.448
,,,,7/18/2022,11.509
,,,,7/19/2022,11.537
,,,,7/20/2022,11.379
,,,,7/21/2022,11.192
,,,,7/22/2022,11.028
,,,,7/25/2022,10.929
,,,,7/26/2022,11.117
,,,,7/27/2022,11.092
,,,,7/28/2022,10.869
,,,,7/29/2022,10.791
,,,,8/1/2022,10.894
,,,,8/2/2022,10.787
,,,,8/3/2022,10.792
,,,,8/4/2022,10.661
,,,,8/5/2022,10.729
,,,,8/8/2022,10.704
,,,,8/10/2022,10.539
,,,,8/11/2022,10.412
,,,,8/12/2022,10.37
,,,,8/15/2022,10.473
,,,,8/16/2022,10.532
,,,,8/17/2022,10.609
,,,,8/18/2022,10.632
,,,,8/19/2022,10.746
,,,,8/22/2022,10.77
,,,,8/23/2022,10.79
,,,,8/24/2022,10.768
,,,,8/25/2022,10.67
,,,,8/26/2022,10.676
,,,,8/29/2022,10.713
,,,,8/30/2022,10.804
,,,,8/31/2022,10.911
,,,,9/1/2022,10.995
,,,,9/2/2022,10.781
,,,,9/5/2022,10.781
,,,,9/6/2022,10.983
,,,,9/7/2022,10.854
,,,,9/8/2022,10.858
,,,,9/9/2022,10.77
,,,,9/12/2022,10.637
,,,,9/13/2022,10.677
,,,,9/14/2022,10.769
,,,,9/15/2022,10.751
,,,,9/16/2022,10.803
,,,,9/19/2022,10.912
,,,,9/20/2022,10.992
,,,,9/21/2022,10.963
,,,,9/22/2022,11.013
,,,,9/23/2022,11.247
,,,,9/26/2022,11.359
,,,,9/27/2022,11.256
,,,,9/28/2022,11.285
,,,,9/29/2022,11.429
,,,,9/30/2022,11.36
,,,,10/3/2022,11.193
,,,,10/4/2022,11.121
,,,,10/5/2022,11.183
,,,,10/6/2022,11.111
,,,,10/7/2022,11.119
,,,,10/10/2022,11.17
,,,,10/11/2022,11.222
,,,,10/12/2022,11.29
,,,,10/13/2022,11.319
,,,,10/14/2022,11.309
,,,,10/17/2022,11.278
,,,,10/18/2022,11.287
,,,,10/19/2022,11.329
,,,,10/20/2022,11.429
,,,,10/21/2022,11.495
,,,,10/24/2022,11.549
,,,,10/25/2022,11.422
,,,,10/26/2022,11.293
,,,,10/27/2022,11.192
,,,,10/28/2022,11.229
,,,,10/31/2022,11.354
,,,,11/1/2022,11.282
,,,,11/2/2022,11.205
,,,,11/3/2022,11.286
,,,,11/4/2022,11.141
,,,,11/7/2022,11.027
,,,,11/8/2022,10.987
,,,,11/9/2022,10.996
,,,,11/10/2022,10.879
,,,,11/11/2022,10.697
,,,,11/14/2022,10.705
,,,,11/15/2022,10.746
,,,,11/16/2022,10.853
,,,,11/17/2022,10.955
,,,,11/18/2022,10.912
,,,,11/21/2022,10.887
,,,,11/22/2022,10.837
,,,,11/23/2022,10.749
,,,,11/24/2022,10.678
,,,,11/25/2022,10.768
,,,,11/28/2022,10.797
,,,,11/29/2022,10.766
,,,,11/30/2022,10.803
,,,,12/1/2022,11.541
,,,,12/2/2022,11.309
,,,,12/5/2022,11.105
,,,,12/6/2022,11.13
,,,,12/7/2022,11.061
,,,,12/8/2022,10.964
,,,,12/9/2022,11.014
,,,,12/12/2022,11.074
,,,,12/13/2022,10.951
,,,,12/14/2022,10.846
,,,,12/15/2022,10.799
,,,,12/19/2022,10.88
,,,,12/20/2022,10.779
,,,,12/21/2022,10.825
,,,,12/22/2022,10.768
,,,,12/23/2022,10.776
,,,,12/28/2022,10.852
,,,,12/29/2022,10.87
,,,,12/30/2022,10.811
,,,,1/3/2023,10.715
,,,,1/4/2023,10.652
,,,,1/5/2023,10.682
,,,,1/6/2023,10.614
,,,,1/9/2023,10.36
,,,,1/10/2023,10.468
,,,,1/11/2023,10.457
,,,,1/12/2023,10.366
,,,,1/13/2023,10.367
,,,,1/16/2023,10.458
,,,,1/17/2023,10.482
,,,,1/18/2023,10.308
,,,,1/19/2023,10.381
,,,,1/20/2023,10.414
,,,,1/23/2023,10.43
,,,,1/24/2023,10.389
,,,,1/25/2023,10.305
,,,,1/26/2023,10.272
,,,,1/27/2023,10.307
,,,,1/30/2023,10.351
,,,,1/31/2023,10.339
,,,,2/1/2023,10.282
,,,,2/2/2023,10.175
,,,,2/3/2023,10.276
,,,,2/6/2023,10.377
,,,,2/7/2023,11.002
,,,,2/8/2023,10.973
,,,,2/9/2023,10.923
,,,,2/10/2023,11.002
,,,,2/13/2023,11.005
,,,,2/14/2023,10.968
,,,,2/15/2023,11.117
,,,,2/16/2023,11.11
,,,,2/17/2023,11.182
,,,,2/20/2023,11.263
,,,,2/21/2023,11.381
,,,,2/22/2023,11.297
,,,,2/23/2023,11.214
,,,,2/24/2023,11.185
,,,,2/27/2023,11.171
,,,,2/28/2023,11.183
,,,,3/1/2023,11.161
,,,,3/2/2023,11.203
,,,,3/3/2023,11.148
,,,,3/6/2023,11.126
,,,,3/7/2023,11.234
,,,,3/8/2023,11.221
,,,,3/9/2023,11.25
,,,,3/10/2023,11.251
,,,,3/13/2023,11.184
,,,,3/14/2023,11.199
,,,,3/15/2023,11.339
,,,,3/16/2023,11.371
,,,,3/17/2023,11.248
,,,,3/20/2023,11.181
,,,,3/22/2023,11.18
,,,,3/23/2023,11.141
,,,,3/24/2023,11.238
,,,,3/27/2023,11.248
,,,,3/28/2023,11.257
,,,,3/29/2023,11.216
,,,,3/30/2023,11.138
,,,,3/31/2023,11.059
,,,,4/3/2023,11.099
,,,,4/4/2023,11.134
,,,,4/5/2023,11.113
,,,,4/6/2023,11.169
,,,,4/11/2023,11.302
,,,,4/12/2023,11.281
,,,,4/13/2023,11.195
,,,,4/14/2023,11.242
,,,,4/17/2023,11.363
,,,,4/18/2023,11.328
,,,,4/19/2023,11.362
,,,,4/20/2023,11.306
,,,,4/21/2023,11.325
,,,,4/24/2023,11.398
,,,,4/25/2023,11.425
,,,,4/26/2023,11.405
,,,,4/28/2023,11.39
,,,,5/2/2023,11.417
,,,,5/3/2023,11.38
,,,,5/4/2023,11.405
,,,,5/5/2023,11.42
,,,,5/8/2023,11.473
,,,,5/9/2023,11.646
,,,,5/10/2023,11.794
,,,,5/11/2023,12.064
,,,,5/12/2023,12.042
,,,,5/15/2023,11.909
,,,,5/16/2023,11.946
,,,,5/17/2023,12.13
,,,,5/18/2023,12.219
,,,,5/19/2023,12.286
,,,,5/22/2023,12.37
,,,,5/23/2023,12.399
,,,,5/24/2023,12.285
,,,,5/25/2023,12.386
,,,,5/26/2023,12.301
,,,,5/29/2023,12.313
,,,,5/30/2023,12.458
,,,,5/31/2023,12.44
,,,,6/1/2023,12.391
,,,,6/2/2023,12.36
,,,,6/5/2023,12.233
,,,,6/6/2023,12.103
,,,,6/7/2023,12.012
,,,,6/8/2023,11.932
,,,,6/9/2023,11.941
,,,,6/12/2023,11.874
,,,,6/13/2023,11.842
,,,,6/14/2023,11.801
,,,,6/15/2023,11.855
,,,,6/19/2023,11.872
,,,,6/20/2023,11.944
,,,,6/21/2023,11.908
,,,,6/22/2023,11.912
,,,,6/23/2023,11.902
,,,,6/26/2023,11.825
,,,,6/27/2023,11.76
,,,,6/28/2023,11.739
,,,,6/29/2023,11.784
,,,,6/30/2023,11.762
,,,,7/3/2023,11.765
,,,,7/4/2023,11.81
,,,,7/5/2023,11.798
,,,,7/6/2023,12.006
,,,,7/7/2023,12.094
,,,,7/10/2023,12.113
,,,,7/11/2023,12.021
,,,,7/12/2023,11.823
,,,,7/13/2023,11.671
,,,,7/14/2023,11.781
,,,,7/17/2023,11.753
,,,,7/18/2023,11.645
,,,,7/19/2023,11.634
,,,,7/20/2023,11.678
,,,,7/21/2023,11.64
,,,,7/24/2023,11.579
,,,,7/25/2023,11.592
,,,,7/26/2023,11.565
,,,,7/27/2023,11.542
,,,,7/28/2023,11.516
,,,,7/31/2023,11.531
,,,,8/1/2023,11.601
,,,,8/2/2023,11.682
,,,,8/3/2023,11.767
,,,,8/4/2023,11.627
,,,,8/7/2023,11.649
,,,,8/8/2023,11.646
,,,,8/10/2023,11.554
,,,,8/11/2023,11.637
,,,,8/14/2023,11.811
,,,,8/15/2023,11.867
,,,,8/16/2023,11.767
,,,,8/17/2023,11.868
,,,,8/18/2023,11.945
,,,,8/21/2023,12.022
,,,,8/22/2023,11.94
,,,,8/23/2023,11.759
,,,,8/24/2023,11.665
,,,,8/25/2023,11.686
,,,,8/28/2023,11.632
,,,,8/29/2023,11.643
,,,,8/30/2023,11.677
,,,,8/31/2023,11.735
,,,,9/1/2023,11.755
,,,,9/4/2023,11.834
,,,,9/5/2023,11.953
,,,,9/6/2023,11.985
,,,,9/7/2023,11.941
,,,,9/8/2023,11.947
,,,,9/11/2023,11.988
,,,,9/12/2023,12.008
,,,,9/13/2023,12.016
,,,,9/14/2023,12.05
,,,,9/15/2023,12.071
,,,,9/18/2023,12.105
,,,,9/19/2023,12.099
,,,,9/20/2023,12.081
,,,,9/21/2023,12.179
,,,,9/22/2023,12.263
,,,,9/26/2023,12.418
,,,,9/27/2023,12.445
,,,,9/28/2023,12.609
,,,,9/29/2023,12.382
,,,,10/2/2023,12.448
,,,,10/3/2023,12.516
,,,,10/4/2023,12.595
,,,,10/5/2023,12.511
,,,,10/6/2023,12.399
,,,,10/9/2023,12.414
,,,,10/10/2023,12.313
,,,,10/11/2023,12.255
,,,,10/12/2023,12.251
,,,,10/13/2023,12.322
,,,,10/16/2023,12.372
,,,,10/17/2023,12.379
,,,,10/18/2023,12.47
,,,,10/19/2023,12.461
,,,,10/20/2023,12.386
,,,,10/23/2023,12.424
,,,,10/24/2023,12.291
,,,,10/25/2023,12.259
,,,,10/26/2023,12.277
,,,,10/27/2023,12.231
,,,,10/30/2023,12.281
,,,,10/31/2023,12.264
,,,,11/1/2023,12.145
,,,,11/2/2023,11.96
,,,,11/3/2023,11.875
,,,,11/6/2023,11.977
,,,,11/7/2023,11.977
,,,,11/8/2023,11.889
,,,,11/9/2023,11.912
,,,,11/10/2023,11.982
,,,,11/13/2023,12.031
,,,,11/14/2023,11.83
,,,,11/15/2023,11.801
,,,,11/16/2023,11.645
,,,,11/17/2023,11.645
,,,,11/20/2023,11.609
,,,,11/21/2023,11.475
,,,,11/22/2023,11.654
,,,,11/23/2023,11.671
,,,,11/24/2023,11.781
,,,,11/27/2023,11.756
,,,,11/28/2023,11.62
,,,,11/29/2023,11.525
,,,,11/30/2023,11.588
,,,,12/1/2023,11.589
,,,,12/4/2023,11.562
,,,,12/5/2023,11.622
,,,,12/6/2023,11.596
,,,,12/7/2023,11.598
,,,,12/8/2023,11.648
,,,,12/11/2023,11.749
,,,,12/12/2023,11.701
,,,,12/13/2023,11.702
,,,,12/14/2023,11.464
,,,,12/18/2023,11.299
,,,,12/19/2023,11.361
,,,,12/20/2023,11.32
,,,,12/21/2023,11.404
,,,,12/22/2023,11.364
,,,,12/27/2023,11.356
,,,,12/28/2023,11.345
,,,,12/29/2023,11.393
,,,,1/2/2024,11.471
,,,,1/3/2024,11.536
,,,,1/4/2024,11.557
,,,,1/5/2024,11.492
,,,,1/8/2024,11.479
,,,,1/9/2024,11.34
,,,,1/10/2024,11.38
,,,,1/11/2024,11.357
,,,,1/12/2024,11.349
,,,,1/15/2024,11.384
,,,,1/16/2024,11.491
,,,,1/17/2024,11.514
,,,,1/18/2024,11.461
,,,,1/19/2024,11.444
,,,,1/22/2024,11.396
,,,,1/23/2024,11.41
,,,,1/24/2024,11.395
,,,,1/25/2024,11.412
,,,,1/26/2024,11.433
,,,,1/29/2024,11.431
,,,,1/30/2024,11.453
,,,,1/31/2024,11.428
,,,,2/1/2024,11.377
,,,,2/2/2024,11.433
,,,,2/5/2024,11.525
,,,,2/6/2024,11.486
,,,,2/7/2024,11.51
,,,,2/8/2024,11.564
,,,,2/9/2024,11.594
,,,,2/12/2024,11.697
,,,,2/13/2024,11.748
,,,,2/14/2024,11.762
,,,,2/15/2024,11.669
,,,,2/16/2024,11.685
,,,,2/19/2024,11.73
,,,,2/20/2024,11.686
,,,,2/21/2024,11.581
,,,,2/22/2024,11.615
,,,,2/23/2024,11.738
,,,,2/26/2024,11.834
,,,,2/27/2024,11.773
,,,,2/28/2024,11.725
,,,,2/29/2024,11.684
,,,,3/1/2024,11.651
,,,,3/4/2024,11.706
,,,,3/5/2024,11.69
,,,,3/6/2024,11.692
,,,,3/7/2024,11.688
,,,,3/8/2024,11.741
,,,,3/11/2024,11.765
,,,,3/12/2024,11.819
,,,,3/13/2024,11.858
,,,,3/14/2024,11.957
,,,,3/15/2024,12.041
,,,,3/18/2024,12.149
,,,,3/19/2024,12.11
,,,,3/20/2024,12.042
,,,,3/22/2024,12.076
,,,,3/25/2024,12.124
,,,,3/26/2024,12.242
,,,,3/27/2024,12.251
,,,,3/28/2024,12.297
,,,,4/2/2024,12.262
,,,,4/3/2024,12.162
,,,,4/4/2024,12.055
,,,,4/5/2024,12.124
,,,,4/8/2024,12.192
,,,,4/9/2024,12.108
,,,,4/10/2024,12.194
,,,,4/11/2024,12.263
,,,,4/12/2024,12.364
,,,,4/15/2024,12.454
,,,,4/16/2024,12.536
,,,,4/17/2024,12.382
,,,,4/18/2024,12.32
,,,,4/19/2024,12.384
,,,,4/22/2024,12.373
,,,,4/23/2024,12.324
,,,,4/24/2024,12.376
,,,,4/25/2024,12.447
,,,,4/26/2024,12.282
,,,,4/29/2024,12.176
,,,,4/30/2024,12.176
,,,,5/2/2024,12.106
,,,,5/3/2024,12.118
,,,,5/6/2024,12.12
,,,,5/7/2024,12.056
,,,,5/8/2024,12.111
,,,,5/9/2024,12.16
,,,,5/10/2024,12.154
,,,,5/13/2024,12.097
,,,,5/14/2024,12.127
,,,,5/15/2024,12.02
,,,,5/16/2024,11.96
,,,,5/17/2024,11.952
,,,,5/20/2024,11.888
,,,,5/21/2024,11.861
,,,,5/22/2024,11.875
,,,,5/23/2024,11.991
,,,,5/24/2024,12.102
,,,,5/27/2024,12.123
,,,,5/28/2024,12.055
,,,,5/30/2024,12.084
,,,,5/31/2024,12.245
,,,,6/3/2024,12.119
,,,,6/4/2024,12.142
,,,,6/5/2024,12.345
,,,,6/6/2024,12.316
,,,,6/7/2024,12.146
,,,,6/10/2024,12.034
,,,,6/11/2024,11.908
,,,,6/12/2024,11.781
,,,,6/13/2024,11.686
,,,,6/14/2024,11.718
,,,,6/18/2024,11.407
,,,,6/19/2024,11.254
,,,,6/20/2024,11.313
,,,,6/21/2024,11.205
,,,,6/24/2024,11.316
,,,,6/25/2024,11.27
,,,,6/26/2024,11.217
,,,,6/27/2024,11.55
,,,,6/28/2024,11.406
,,,,7/1/2024,11.311
,,,,7/2/2024,11.35
,,,,7/3/2024,11.193
,,,,7/4/2024,11.148
,,,,7/5/2024,11.081
,,,,7/8/2024,11.057
,,,,7/9/2024,11.114
,,,,7/10/2024,11.066
,,,,7/11/2024,10.969
,,,,7/12/2024,10.874
,,,,7/15/2024,10.95
,,,,7/16/2024,10.919
,,,,7/17/2024,11.009
,,,,7/18/2024,11.008
,,,,7/19/2024,11.076
,,,,7/22/2024,10.997
,,,,7/23/2024,10.926
,,,,7/24/2024,10.959
,,,,7/25/2024,10.969
,,,,7/26/2024,10.949
,,,,7/29/2024,10.992
,,,,7/30/2024,11.01
,,,,7/31/2024,10.915
,,,,8/1/2024,10.828
,,,,8/2/2024,10.802
,,,,8/5/2024,10.958
,,,,8/6/2024,10.924
,,,,8/7/2024,10.911
,,,,8/8/2024,10.872
,,,,8/12/2024,10.838
,,,,8/13/2024,10.722
,,,,8/14/2024,10.602
,,,,8/15/2024,10.646
,,,,8/16/2024,10.737
,,,,8/19/2024,10.716
,,,,8/20/2024,10.747
,,,,8/21/2024,10.603
,,,,8/22/2024,10.651
,,,,8/23/2024,10.564
,,,,8/26/2024,10.532
,,,,8/27/2024,10.538
,,,,8/28/2024,10.553
,,,,8/29/2024,10.529
,,,,8/30/2024,10.605
,,,,9/2/2024,10.652
,,,,9/3/2024,10.677
,,,,9/4/2024,10.551
,,,,9/5/2024,10.469
,,,,9/6/2024,10.428
,,,,9/9/2024,10.472
,,,,9/10/2024,10.473
,,,,9/11/2024,10.432
,,,,9/12/2024,10.454
,,,,9/13/2024,10.356
,,,,9/16/2024,10.243
,,,,9/17/2024,10.234
,,,,9/18/2024,10.189
,,,,9/19/2024,10.158
,,,,9/20/2024,10.161
,,,,9/23/2024,10.118
,,,,9/25/2024,10.104
,,,,9/26/2024,10.081
,,,,9/27/2024,10.027
,,,,9/30/2024,10.051
,,,,10/1/2024,10.206
,,,,10/2/2024,10.337
,,,,10/3/2024,10.418
,,,,10/4/2024,10.455
,,,,10/7/2024,10.467
,,,,10/8/2024,10.482
,,,,10/9/2024,10.442
,,,,10/10/2024,10.419
,,,,10/11/2024,10.389
,,,,10/14/2024,10.459
,,,,10/15/2024,10.487
,,,,10/16/2024,10.517
,,,,10/17/2024,10.629
,,,,10/18/2024,10.61
,,,,10/21/2024,10.648
,,,,10/22/2024,10.649
,,,,10/23/2024,10.776
,,,,10/24/2024,10.638
,,,,10/25/2024,10.487
,,,,10/28/2024,10.451
,,,,10/29/2024,10.421
,,,,10/30/2024,10.462
,,,,10/31/2024,10.568
,,,,11/1/2024,10.6
,,,,11/4/2024,10.585
,,,,11/5/2024,10.578
,,,,11/6/2024,10.656
,,,,11/7/2024,10.407
,,,,11/8/2024,10.396
,,,,11/11/2024,10.46
,,,,11/12/2024,10.475
,,,,11/13/2024,10.451
,,,,11/14/2024,10.428
,,,,11/15/2024,10.431
,,,,11/18/2024,10.374
,,,,11/19/2024,10.393
,,,,11/20/2024,10.325
,,,,11/21/2024,10.213
,,,,11/22/2024,10.185
,,,,11/25/2024,10.147
,,,,11/26/2024,10.223
,,,,11/27/2024,10.232
,,,,11/28/2024,10.191
,,,,11/29/2024,10.152
,,,,12/2/2024,10.204
,,,,12/3/2024,10.178
,,,,12/4/2024,10.23
,,,,12/5/2024,10.237
,,,,12/6/2024,10.219
,,,,12/9/2024,10.169
,,,,12/10/2024,10.211
,,,,12/11/2024,10.197
,,,,12/12/2024,10.178
,,,,12/13/2024,10.176
,,,,12/17/2024,10.239
,,,,12/18/2024,10.3
,,,,12/19/2024,10.39
,,,,12/20/2024,10.416
,,,,12/23/2024,10.384
,,,,12/24/2024,10.319
,,,,12/27/2024,10.316
,,,,12/30/2024,10.336
,,,,12/31/2024,10.328
,,,,1/2/2025,10.268
,,,,1/3/2025,10.269
,,,,1/6/2025,10.287
,,,,1/7/2025,10.336
,,,,1/8/2025,10.435
,,,,1/9/2025,10.498
,,,,1/10/2025,10.631
,,,,1/13/2025,10.711
,,,,1/14/2025,10.658
,,,,1/15/2025,10.515
,,,,1/16/2025,10.551
,,,,1/17/2025,10.531
,,,,1/20/2025,10.459
,,,,1/21/2025,10.381
,,,,1/22/2025,10.317
,,,,1/23/2025,10.388
,,,,1/24/2025,10.351
,,,,1/27/2025,10.486
,,,,1/28/2025,10.376
,,,,1/29/2025,10.296
,,,,1/30/2025,10.327
,,,,1/31/2025,10.402
,,,,2/3/2025,10.482
,,,,2/4/2025,10.444
,,,,2/5/2025,10.4
,,,,2/6/2025,10.426
,,,,2/7/2025,10.434
,,,,2/10/2025,10.486
,,,,2/11/2025,10.545
,,,,2/12/2025,10.559
,,,,2/13/2025,10.561
,,,,2/14/2025,10.488
,,,,2/17/2025,10.539
,,,,2/18/2025,10.52
,,,,2/19/2025,10.598
,,,,2/20/2025,10.619
,,,,2/21/2025,10.59
,,,,2/24/2025,10.543
,,,,2/25/2025,10.528
,,,,2/26/2025,10.438
,,,,2/27/2025,10.504
,,,,2/28/2025,10.548
,,,,3/3/2025,10.516
,,,,3/4/2025,10.437
,,,,3/5/2025,10.446
,,,,3/6/2025,10.503
,,,,3/7/2025,10.536
,,,,3/10/2025,10.507
,,,,3/11/2025,10.485
,,,,3/12/2025,10.5
,,,,3/13/2025,10.554
,,,,3/14/2025,10.607
,,,,3/17/2025,10.645
,,,,3/18/2025,10.618
,,,,3/19/2025,10.6
,,,,3/20/2025,10.59
,,,,3/24/2025,10.673
,,,,3/25/2025,10.707
,,,,3/26/2025,10.649
,,,,3/27/2025,10.685
,,,,3/28/2025,10.705
,,,,3/31/2025,10.631
,,,,4/1/2025,10.612
,,,,4/2/2025,10.836
,,,,4/3/2025,10.84
,,,,4/4/2025,11.111
,,,,4/7/2025,11.133
,,,,4/8/2025,10.972
,,,,4/9/2025,11.088
,,,,4/10/2025,10.922
,,,,4/11/2025,11.042
,,,,4/14/2025,10.952
,,,,4/15/2025,10.934
,,,,4/16/2025,10.897
,,,,4/17/2025,10.917
,,,,4/22/2025,10.95
,,,,4/23/2025,10.824
,,,,4/24/2025,10.684
,,,,4/25/2025,10.683
,,,,4/29/2025,10.618
,,,,4/30/2025,10.589
,,,,5/2/2025,10.616
,,,,5/5/2025,10.62
,,,,5/6/2025,10.669
,,,,5/7/2025,10.636
,,,,5/8/2025,10.559
,,,,5/9/2025,10.526
,,,,5/12/2025,10.517
,,,,5/13/2025,10.524
,,,,5/14/2025,10.546
,,,,5/15/2025,10.451
,,,,5/16/2025,10.429
,,,,5/19/2025,10.482
,,,,5/20/2025,10.45
,,,,5/21/2025,10.445
,,,,5/22/2025,10.5
,,,,5/23/2025,10.478
,,,,5/26/2025,10.48
,,,,5/27/2025,10.415
,,,,5/28/2025,10.344
,,,,5/29/2025,10.186
,,,,5/30/2025,10.154
,,,,6/2/2025,10.21
,,,,6/3/2025,10.127
,,,,6/4/2025,9.998
,,,,6/5/2025,10.04
,,,,6/6/2025,10.081
,,,,6/9/2025,10.148
,,,,6/10/2025,10.092
,,,,6/11/2025,10.114
,,,,6/12/2025,10.101
,,,,6/13/2025,10.155
,,,,6/17/2025,10.111
,,,,6/18/2025,10.117
,,,,6/19/2025,10.132
,,,,6/20/2025,10.048
,,,,6/23/2025,10.068
,,,,6/24/2025,9.964
,,,,6/25/2025,9.929
,,,,6/26/2025,9.954
,,,,6/27/2025,9.977
,,,,6/30/2025,9.962
,,,,7/1/2025,9.852
,,,,7/2/2025,9.841
,,,,7/3/2025,9.752
,,,,7/4/2025,9.738
,,,,7/7/2025,9.835
,,,,7/8/2025,9.885
,,,,7/9/2025,9.859
,,,,7/10/2025,9.793
,,,,7/11/2025,9.9
,,,,7/14/2025,9.912
,,,,7/15/2025,9.858
,,,,7/16/2025,9.892
,,,,7/17/2025,9.957
,,,,7/18/2025,9.957
,,,,7/21/2025,9.987
,,,,7/22/2025,9.876
,,,,7/23/2025,9.806
,,,,7/24/2025,9.827
,,,,7/25/2025,9.846
,,,,7/28/2025,9.807
,,,,7/29/2025,9.812
,,,,7/30/2025,9.805
,,,,7/31/2025,9.722
,,,,8/1/2025,9.613
,,,,8/4/2025,9.624
,,,,8/5/2025,9.679
,,,,8/6/2025,9.68
,,,,8/7/2025,9.658
,,,,8/8/2025,9.633
,,,,8/11/2025,9.673
,,,,8/12/2025,9.674
,,,,8/13/2025,9.612
,,,,8/14/2025,9.606
,,,,8/15/2025,9.598
,,,,8/18/2025,9.642
,,,,8/19/2025,9.657
